date_key,full_date,year,month,month_name,day,decade
19300713,1930-07-13,1930,7,July,13,1930s
19300714,1930-07-14,1930,7,July,14,1930s
19300715,1930-07-15,1930,7,July,15,1930s
19300716,1930-07-16,1930,7,July,16,1930s
19300717,1930-07-17,1930,7,July,17,1930s
19300718,1930-07-18,1930,7,July,18,1930s
19300719,1930-07-19,1930,7,July,19,1930s
19300720,1930-07-20,1930,7,July,20,1930s
19300721,1930-07-21,1930,7,July,21,1930s
19300722,1930-07-22,1930,7,July,22,1930s
19300726,1930-07-26,1930,7,July,26,1930s
19300727,1930-07-27,1930,7,July,27,1930s
19300730,1930-07-30,1930,7,July,30,1930s
19340527,1934-05-27,1934,5,May,27,1930s
19340531,1934-05-31,1934,5,May,31,1930s
19340601,1934-06-01,1934,6,June,1,1930s
19340603,1934-06-03,1934,6,June,3,1930s
19340607,1934-06-07,1934,6,June,7,1930s
19340610,1934-06-10,1934,6,June,10,1930s
19380604,1938-06-04,1938,6,June,4,1930s
19380605,1938-06-05,1938,6,June,5,1930s
19380609,1938-06-09,1938,6,June,9,1930s
19380612,1938-06-12,1938,6,June,12,1930s
19380614,1938-06-14,1938,6,June,14,1930s
19380616,1938-06-16,1938,6,June,16,1930s
19380619,1938-06-19,1938,6,June,19,1930s
19500624,1950-06-24,1950,6,June,24,1950s
19500625,1950-06-25,1950,6,June,25,1950s
19500628,1950-06-28,1950,6,June,28,1950s
19500629,1950-06-29,1950,6,June,29,1950s
19500701,1950-07-01,1950,7,July,1,1950s
19500702,1950-07-02,1950,7,July,2,1950s
19500709,1950-07-09,1950,7,July,9,1950s
19500713,1950-07-13,1950,7,July,13,1950s
19500716,1950-07-16,1950,7,July,16,1950s
19540616,1954-06-16,1954,6,June,16,1950s
19540617,1954-06-17,1954,6,June,17,1950s
19540619,1954-06-19,1954,6,June,19,1950s
19540620,1954-06-20,1954,6,June,20,1950s
19540623,1954-06-23,1954,6,June,23,1950s
19540626,1954-06-26,1954,6,June,26,1950s
19540627,1954-06-27,1954,6,June,27,1950s
19540630,1954-06-30,1954,6,June,30,1950s
19540703,1954-07-03,1954,7,July,3,1950s
19540704,1954-07-04,1954,7,July,4,1950s
19580608,1958-06-08,1958,6,June,8,1950s
19580611,1958-06-11,1958,6,June,11,1950s
19580612,1958-06-12,1958,6,June,12,1950s
19580615,1958-06-15,1958,6,June,15,1950s
19580617,1958-06-17,1958,6,June,17,1950s
19580619,1958-06-19,1958,6,June,19,1950s
19580624,1958-06-24,1958,6,June,24,1950s
19580628,1958-06-28,1958,6,June,28,1950s
19580629,1958-06-29,1958,6,June,29,1950s
19620530,1962-05-30,1962,5,May,30,1960s
19620531,1962-05-31,1962,5,May,31,1960s
19620602,1962-06-02,1962,6,June,2,1960s
19620603,1962-06-03,1962,6,June,3,1960s
19620606,1962-06-06,1962,6,June,6,1960s
19620607,1962-06-07,1962,6,June,7,1960s
19620610,1962-06-10,1962,6,June,10,1960s
19620613,1962-06-13,1962,6,June,13,1960s
19620616,1962-06-16,1962,6,June,16,1960s
