team_key,team_name,team_code,association
1,Afghanistan,AFG,AFC
2,Albania,ALB,UEFA
3,Algeria,ALG,CAF
4,American Samoa,ASA,OFC
5,Andorra,AND,UEFA
6,Angola,ANG,CAF
7,Anguilla,AIA,CONCACAF
8,Antigua and Barbuda,ATG,CONCACAF
9,Argentina,ARG,CONMEBOL
10,Armenia,ARM,UEFA
11,Aruba,ARU,CONCACAF
12,Australia,AUS,AFC
13,Austria,AUT,UEFA
14,Azerbaijan,AZE,UEFA
15,Bahamas,BAH,CONCACAF
16,Bahrain,BHR,AFC
17,Bangladesh,BAN,AFC
18,Barbados,BRB,CONCACAF
19,Belarus,BLR,UEFA
20,Belgium,BEL,UEFA
21,Belize,BLZ,CONCACAF
22,Benin,BEN,CAF
23,Bermuda,BER,CONCACAF
24,Bhutan,BHU,AFC
25,Bolivia,BOL,CONMEBOL
26,Bosnia and Herzegovina,,Historical / not currently FIFA-ranked
27,Bosnia-Herzegovina,BIH,UEFA
28,Botswana,BOT,CAF
29,Brazil,BRA,CONMEBOL
30,British Virgin Islands,VGB,CONCACAF
31,Brunei Darussalam,BRU,AFC
32,Bulgaria,BUL,UEFA
33,Burkina Faso,BFA,CAF
34,Burundi,BDI,CAF
35,Cambodia,CAM,AFC
36,Cameroon,CMR,CAF
37,Canada,CAN,CONCACAF
38,Cape Verde,CPV,CAF
39,Cayman Islands,CAY,CONCACAF
40,Central African Republic,CTA,CAF
41,Chad,CHA,CAF
42,Chile,CHI,CONMEBOL
43,China PR,CHN,AFC
44,Chinese Taipei,TPE,AFC
45,Colombia,COL,CONMEBOL
46,Comoros,COM,CAF
47,Congo,CGO,CAF
48,Congo DR,COD,CAF
49,Cook Islands,COK,OFC
50,Costa Rica,CRC,CONCACAF
51,Croatia,CRO,UEFA
52,Cuba,CUB,CONCACAF
53,Curaçao,CUW,CONCACAF
54,Cyprus,CYP,UEFA
55,Czech Republic,,Historical / not currently FIFA-ranked
56,Czechia,CZE,UEFA
57,Czechoslovakia,,Historical / not currently FIFA-ranked
58,Côte d'Ivoire,CIV,CAF
59,Denmark,DEN,UEFA
60,Djibouti,DJI,CAF
61,Dominica,DMA,CONCACAF
62,Dominican Republic,DOM,CONCACAF
63,Dutch East Indies,,Historical / not currently FIFA-ranked
64,Ecuador,ECU,CONMEBOL
65,Egypt,EGY,CAF
66,El Salvador,SLV,CONCACAF
67,England,ENG,UEFA
68,Equatorial Guinea,EQG,CAF
69,Eritrea,ERI,CAF
70,Estonia,EST,UEFA
71,Eswatini,SWZ,CAF
72,Ethiopia,ETH,CAF
73,FR Yugoslavia,,Historical / not currently FIFA-ranked
74,Faroe Islands,FRO,UEFA
75,Fiji,FIJ,OFC
76,Finland,FIN,UEFA
77,France,FRA,UEFA
78,Gabon,GAB,CAF
79,Georgia,GEO,UEFA
80,Germany,GER,UEFA
81,Germany DR,,Historical / not currently FIFA-ranked
82,Ghana,GHA,CAF
83,Gibraltar,GIB,UEFA
84,Greece,GRE,UEFA
85,Grenada,GRN,CONCACAF
86,Guam,GUM,AFC
87,Guatemala,GUA,CONCACAF
88,Guinea,GUI,CAF
89,Guinea-Bissau,GNB,CAF
90,Guyana,GUY,CONCACAF
91,Haiti,HAI,CONCACAF
92,Honduras,HON,CONCACAF
93,Hong Kong,HKG,AFC
94,"Hong Kong, China",HKG,AFC
95,Hungary,HUN,UEFA
96,IR Iran,IRN,AFC
97,Iceland,ISL,UEFA
98,India,IND,AFC
99,Indonesia,IDN,AFC
100,Iraq,IRQ,AFC
101,Israel,ISR,UEFA
102,Italy,ITA,UEFA
103,Jamaica,JAM,CONCACAF
104,Japan,JPN,AFC
105,Jordan,JOR,AFC
106,Kazakhstan,KAZ,UEFA
107,Kenya,KEN,CAF
108,Korea DPR,PRK,AFC
109,Korea Republic,KOR,AFC
110,Kosovo,KOS,UEFA
111,Kuwait,KUW,AFC
112,Kyrgyz Republic,KGZ,AFC
113,Laos,LAO,AFC
114,Latvia,LVA,UEFA
115,Lebanon,LBN,AFC
116,Lesotho,LES,CAF
117,Liberia,LBR,CAF
118,Libya,LBY,CAF
119,Liechtenstein,LIE,UEFA
120,Lithuania,LTU,UEFA
121,Luxembourg,LUX,UEFA
122,Macau,MAC,AFC
