tournament_key,year,host_text,num_teams,champion,runner_up,top_scorer,total_attendance,avg_attendance,total_matches,host_team_key,champion_team_key,runner_up_team_key
2022,2022,Qatar,32,Argentina,France,Kylian Mbappé - 8,3404252,53191,64,161,9,77
2018,2018,Russia,32,France,Croatia,Harry Kane - 6,3031768,47371,64,164,77,51
2014,2014,Brazil,32,Germany,Argentina,James Rodríguez - 6,3429873,53592,64,29,80,9
2010,2010,South Africa,32,Spain,Netherlands,"Wesley Sneijder, Thomas Müller... - 5",3178856,49670,64,180,184,141
2006,2006,Germany,32,Italy,France,Miroslav Klose - 5,3352605,52384,64,80,102,77
2002,2002,"Korea Republic, Japan",32,Brazil,Germany,Ronaldo - 8,2705337,42271,64,,29,80
1998,1998,France,32,France,Brazil,Davor Šuker - 6,2903477,45367,64,77,77,29
1994,1994,United States,24,Brazil,Italy,"Hristo Stoichkov, Oleg Salenko - 6",3587538,68991,52,212,29,102
1990,1990,Italy,24,West Germany,Argentina,Salvatore Schillaci - 6,2516215,48389,52,102,219,9
1986,1986,Mexico,24,Argentina,West Germany,Gary Lineker - 6,2394031,46039,52,131,9,219
1982,1982,Spain,24,Italy,West Germany,Paolo Rossi - 6,2109723,40572,52,184,102,219
1978,1978,Argentina,16,Argentina,Netherlands,Mario Kempes - 6,1545791,40679,38,9,9,141
1974,1974,Germany,16,West Germany,Netherlands,Grzegorz Lato - 7,1865753,49099,38,80,219,141
1970,1970,Mexico,16,Brazil,Italy,Gerd Müller - 10,1603975,50124,32,131,29,102
1966,1966,England,16,England,West Germany,Eusébio - 9,1563135,48848,32,67,67,219
1962,1962,Chile,16,Brazil,Czechoslovakia,"Leonel Sánchez, Flórián Albert... - 4",893172,27912,32,42,29,57
1958,1958,Sweden,16,Brazil,Sweden,Just Fontaine - 13,819810,23423,35,191,29,191
1954,1954,Switzerland,16,Germany,Hungary,Sándor Kocsis - 11,768607,29562,26,192,80,95
1950,1950,Brazil,15,Uruguay,Brazil,Ademir - 8,1045246,47511,22,29,213,29
1938,1938,France,16,Italy,Hungary,Leônidas - 7,375700,20872,18,77,102,95
1934,1934,Italy,16,Italy,Czechoslovakia,Oldřich Nejedlý - 5,363000,21353,17,102,102,57
1930,1930,Uruguay,13,Uruguay,Argentina,Guillermo Stábile - 8,590549,32808,18,213,213,9
