match_key,date_key,tournament_key,round_key,home_team_key,away_team_key,host_team_key,venue,home_score,away_score,total_goals,home_xg,away_xg,attendance,home_penalty_shootout,away_penalty_shootout
1,20221218,2022,1,9,77,161,"Lusail Iconic Stadium, Lusail",3,3,6,3.3,2.2,88966,4.0,2.0
2,20221217,2022,12,51,136,161,"Khalifa International Stadium, Doha",2,1,3,0.7,1.2,44137,,
3,20221214,2022,11,77,136,161,"Al Bayt Stadium, Al Khor",2,0,2,2.0,0.9,68294,,
4,20221213,2022,11,9,51,161,"Lusail Iconic Stadium, Lusail",3,0,3,2.3,0.5,88966,,
5,20221210,2022,7,136,159,161,"Al Thumama Stadium, ath-Thumāma",1,0,1,1.4,0.9,44198,,
6,20221210,2022,7,67,77,161,"Al Bayt Stadium, Al Khor",1,2,3,2.4,0.9,68895,,
7,20221209,2022,7,51,29,161,"Education City Stadium, Doha",1,1,2,0.6,2.5,43893,4.0,2.0
8,20221209,2022,7,141,9,161,"Lusail Iconic Stadium, Lusail",2,2,4,0.6,1.9,88235,3.0,4.0
9,20221206,2022,8,136,184,161,"Education City Stadium, Doha",0,0,0,0.7,1.0,44667,3.0,0.0
10,20221206,2022,8,159,192,161,"Lusail Iconic Stadium, Lusail",6,1,7,2.3,1.2,83720,,
11,20221205,2022,8,104,51,161,"Al Janoub Stadium, Al Wakrah",1,1,2,1.2,1.4,42523,1.0,3.0
12,20221205,2022,8,29,109,161,"Stadium 974, Doha",4,1,5,3.6,0.5,43847,,
13,20221204,2022,8,77,158,161,"Al Thumama Stadium, ath-Thumāma",3,1,4,1.4,1.7,40989,,
14,20221204,2022,8,67,170,161,"Al Bayt Stadium, Al Khor",3,0,3,1.0,0.8,65985,,
15,20221203,2022,8,141,212,161,"Khalifa International Stadium, Doha",3,1,4,1.7,1.5,44846,,
16,20221203,2022,8,9,12,161,"Ahmed bin Ali Stadium, Umm al-Afā'ī",2,1,3,1.6,0.6,45032,,
17,20221202,2022,5,109,159,161,"Education City Stadium, Doha",2,1,3,1.7,1.3,44097,,
18,20221202,2022,5,82,213,161,"Al Janoub Stadium, Al Wakrah",0,2,2,1.6,1.8,43443,,
19,20221202,2022,5,36,29,161,"Lusail Iconic Stadium, Lusail",1,0,1,0.5,2.5,85986,,
20,20221202,2022,5,171,192,161,"Stadium 974, Doha",2,3,5,1.3,2.7,41378,,
21,20221201,2022,5,37,136,161,"Al Thumama Stadium, ath-Thumāma",1,2,3,1.4,0.5,43102,,
22,20221201,2022,5,51,20,161,"Ahmed bin Ali Stadium, Umm al-Afā'ī",0,0,0,0.7,3.0,43984,,
23,20221201,2022,5,50,80,161,"Al Bayt Stadium, Al Khor",2,4,6,1.3,5.7,67054,,
24,20221201,2022,5,104,184,161,"Khalifa International Stadium, Doha",2,1,3,1.4,1.0,44851,,
25,20221130,2022,5,12,59,161,"Al Janoub Stadium, Al Wakrah",1,0,1,0.6,0.6,41232,,
26,20221130,2022,5,204,77,161,"Education City Stadium, Doha",1,0,1,0.5,0.8,43627,,
27,20221130,2022,5,168,131,161,"Lusail Iconic Stadium, Lusail",1,2,3,1.1,2.3,84985,,
28,20221130,2022,5,158,9,161,"Stadium 974, Doha",0,2,2,0.3,3.5,44089,,
29,20221129,2022,5,64,170,161,"Khalifa International Stadium, Doha",1,2,3,0.9,2.1,44569,,
30,20221129,2022,5,141,161,161,"Al Bayt Stadium, Al Khor",2,0,2,1.6,0.1,66784,,
31,20221129,2022,5,96,212,161,"Al Thumama Stadium, ath-Thumāma",0,1,1,0.4,1.2,42127,,
32,20221129,2022,5,218,67,161,"Ahmed bin Ali Stadium, Umm al-Afā'ī",0,3,3,0.3,2.4,44297,,
33,20221128,2022,5,36,171,161,"Al Janoub Stadium, Al Wakrah",3,3,6,2.2,1.9,39789,,
34,20221128,2022,5,109,82,161,"Education City Stadium, Doha",2,3,5,1.8,1.6,43983,,
35,20221128,2022,5,29,192,161,"Stadium 974, Doha",1,0,1,1.0,0.3,43649,,
36,20221128,2022,5,159,213,161,"Lusail Iconic Stadium, Lusail",2,0,2,1.3,1.3,88668,,
37,20221127,2022,5,104,50,161,"Ahmed bin Ali Stadium, Umm al-Afā'ī",0,1,1,0.9,0.1,41479,,
38,20221127,2022,5,20,136,161,"Al Thumama Stadium, ath-Thumāma",0,2,2,1.0,1.5,43738,,
39,20221127,2022,5,51,37,161,"Khalifa International Stadium, Doha",4,1,5,2.6,0.4,44374,,
40,20221127,2022,5,184,80,161,"Al Bayt Stadium, Al Khor",1,1,2,0.6,1.3,68895,,
41,20221126,2022,5,204,12,161,"Al Janoub Stadium, Al Wakrah",0,1,1,0.9,0.6,41823,,
42,20221126,2022,5,158,168,161,"Education City Stadium, Doha",2,0,2,1.6,1.7,44259,,
43,20221126,2022,5,77,59,161,"Stadium 974, Doha",2,1,3,2.4,0.6,42860,,
44,20221126,2022,5,9,131,161,"Lusail Iconic Stadium, Lusail",2,0,2,0.3,0.3,88966,,
45,20221125,2022,5,218,96,161,"Ahmed bin Ali Stadium, Umm al-Afā'ī",0,2,2,0.9,1.4,40875,,
46,20221125,2022,5,161,170,161,"Al Thumama Stadium, ath-Thumāma",1,3,4,1.0,0.8,41797,,
47,20221125,2022,5,141,64,161,"Khalifa International Stadium, Doha",1,1,2,0.1,1.7,44833,,
48,20221125,2022,5,67,212,161,"Al Bayt Stadium, Al Khor",0,0,0,0.8,0.6,68463,,
49,20221124,2022,5,192,36,161,"Al Janoub Stadium, Al Wakrah",1,0,1,1.4,0.7,39089,,
50,20221124,2022,5,213,109,161,"Education City Stadium, Doha",0,0,0,0.6,0.6,41663,,
51,20221124,2022,5,159,82,161,"Stadium 974, Doha",3,2,5,2.0,0.9,42662,,
52,20221124,2022,5,29,171,161,"Lusail Iconic Stadium, Lusail",2,0,2,2.4,0.2,88103,,
53,20221123,2022,5,136,51,161,"Al Bayt Stadium, Al Khor",0,0,0,0.4,0.5,59407,,
54,20221123,2022,5,80,104,161,"Khalifa International Stadium, Doha",1,2,3,3.1,1.5,42608,,
55,20221123,2022,5,184,50,161,"Al Thumama Stadium, ath-Thumāma",7,0,7,3.5,0.0,40013,,
56,20221123,2022,5,20,37,161,"Ahmed bin Ali Stadium, Umm al-Afā'ī",1,0,1,0.8,2.4,40432,,
57,20221122,2022,5,9,168,161,"Lusail Iconic Stadium, Lusail",1,2,3,2.2,0.1,88012,,
58,20221122,2022,5,59,204,161,"Education City Stadium, Doha",0,0,0,1.4,0.9,42925,,
59,20221122,2022,5,131,158,161,"Stadium 974, Doha",0,0,0,0.7,0.9,39369,,
60,20221122,2022,5,77,12,161,"Al Janoub Stadium, Al Wakrah",4,1,5,4.0,0.5,40875,,
61,20221121,2022,5,67,96,161,"Khalifa International Stadium, Doha",6,2,8,2.1,1.4,45334,,
62,20221121,2022,5,170,141,161,"Al Thumama Stadium, ath-Thumāma",0,2,2,0.9,0.7,41721,,
63,20221121,2022,5,212,218,161,"Ahmed bin Ali Stadium, Umm al-Afā'ī",1,1,2,0.8,1.5,43418,,
64,20221120,2022,5,161,64,161,"Al Bayt Stadium, Al Khor",0,2,2,0.3,1.2,67372,,
65,20180715,2018,1,77,51,164,"Olimpiyskiy stadion Luzhniki, Moskva",4,2,6,1.1,1.1,78011,,
66,20180714,2018,12,20,67,164,"Gazprom Arena, Sankt-Petersburg",2,0,2,1.5,1.0,64406,,
67,20180711,2018,11,51,67,164,"Olimpiyskiy stadion Luzhniki, Moskva",2,1,3,1.7,0.6,78011,,
68,20180710,2018,11,77,20,164,"Gazprom Arena, Sankt-Petersburg",1,0,1,1.7,0.4,64286,,
69,20180707,2018,7,191,67,164,"Cosmos Arena, Samara",0,2,2,0.5,1.0,39991,,
70,20180707,2018,7,164,51,164,"Olimpiyskiy Stadion Fisht, Sochi",2,2,4,1.0,1.7,44287,3.0,4.0
71,20180706,2018,7,213,77,164,"Stadion Nizhny Novgorod, Nizhny Novgorod",0,2,2,0.9,0.5,43319,,
72,20180706,2018,7,29,20,164,"Kazan Arena, Kazan",1,2,3,2.8,0.5,42873,,
73,20180703,2018,8,191,192,164,"Gazprom Arena, Sankt-Petersburg",1,0,1,1.3,0.7,64042,,
74,20180703,2018,8,45,67,164,"Otkrytie Arena, Moskva",1,1,2,0.6,2.1,44190,3.0,4.0
75,20180702,2018,8,29,131,164,"Cosmos Arena, Samara",2,0,2,2.7,0.7,41970,,
76,20180702,2018,8,20,104,164,"Rostov Arena, Rostov-na-Donu",3,2,5,2.5,0.7,41466,,
77,20180701,2018,8,184,164,164,"Olimpiyskiy stadion Luzhniki, Moskva",1,1,2,1.8,1.0,78011,3.0,4.0
78,20180701,2018,8,51,59,164,"Stadion Nizhny Novgorod, Nizhny Novgorod",1,1,2,2.5,0.9,40851,3.0,2.0
79,20180630,2018,8,77,9,164,"Kazan Arena, Kazan",4,3,7,2.2,0.8,42873,,
80,20180630,2018,8,213,159,164,"Olimpiyskiy Stadion Fisht, Sochi",2,1,3,0.6,1.0,44287,,
81,20180628,2018,5,104,158,164,"Volgograd Arena, Volgograd",0,1,1,0.7,1.4,42189,,
